model,balanced_accuracy,f1,weighted_f1,roc_auc_ovr,f1_MSS/TMB-H,f1_MSS/TMB-L,f1_MSI-H,precision_MSS/TMB-H,recall_MSS/TMB-H,precision_MSS/TMB-L,recall_MSS/TMB-L,precision_MSI-H,recall_MSI-H,roc_auc_MSS/TMB-H,roc_auc_MSS/TMB-L,roc_auc_MSI-H
xgboost_combined,0.7144886363636364,0.6403361344537815,0.6990128090070981,0.8190883822649285,0.5882352941176471,0.7899159663865546,0.5428571428571428,0.45454545454545453,0.8333333333333334,0.8545454545454545,0.734375,0.5135135135135135,0.5757575757575758,0.9553264604810997,0.8361378205128205,0.6658008658008658
random_forest_class_weight,0.6601957070707071,0.6160564109199119,0.713787563419576,0.8304710502841947,0.5,0.8396946564885496,0.5084745762711864,0.4,0.6666666666666666,0.8208955223880597,0.859375,0.5769230769230769,0.45454545454545453,0.9536082474226804,0.8369391025641025,0.700865800865801
xgboost_class_weight,0.7050189393939394,0.6129032258064516,0.7056060131537739,0.8358434556566,0.5,0.8225806451612904,0.5161290322580645,0.35714285714285715,0.8333333333333334,0.85,0.796875,0.5517241379310345,0.48484848484848486,0.9536082474226804,0.8625801282051282,0.6913419913419914
xgboost_smote,0.6890782828282829,0.6074074074074075,0.6689320388349516,0.8103460828976293,0.5555555555555556,0.7666666666666667,0.5,0.4166666666666667,0.8333333333333334,0.8214285714285714,0.71875,0.4857142857142857,0.5151515151515151,0.9553264604810997,0.828525641025641,0.6471861471861472
random_forest_smote,0.6085858585858586,0.5857237086430428,0.6894199990926865,0.7964553881113159,0.42857142857142855,0.7933884297520661,0.5352112676056338,0.375,0.5,0.8421052631578947,0.75,0.5,0.5757575757575758,0.9398625429553263,0.8153044871794871,0.6341991341991342
random_forest_combined,0.6085858585858586,0.5857237086430428,0.6894199990926865,0.7808573978999235,0.42857142857142855,0.7933884297520661,0.5352112676056338,0.375,0.5,0.8421052631578947,0.75,0.5,0.5757575757575758,0.9381443298969071,0.7944711538461537,0.60995670995671
mlp_combined,0.6594065656565657,0.5714484834968777,0.6464235296155478,0.7339466983474715,0.5263157894736842,0.78125,0.4067796610169492,0.38461538461538464,0.8333333333333334,0.78125,0.78125,0.46153846153846156,0.36363636363636365,0.8109965635738832,0.7696314102564102,0.6212121212121211
logistic_regression_class_weight,0.6496212121212122,0.5334089025401004,0.6461138778008296,0.7339556920742488,0.4166666666666667,0.8062015503875969,0.37735849056603776,0.2777777777777778,0.8333333333333334,0.8,0.8125,0.5,0.30303030303030304,0.7972508591065292,0.8028846153846154,0.6017316017316017
logistic_regression_smote,0.60385101010101,0.5236934202451443,0.6468994309637095,0.7397554013855561,0.36363636363636365,0.7936507936507936,0.41379310344827586,0.25,0.6666666666666666,0.8064516129032258,0.78125,0.48,0.36363636363636365,0.79553264604811,0.7912660256410255,0.6324675324675325
mlp_smote,0.6291035353535354,0.5144351119894598,0.615618404390038,0.7056018938106567,0.43478260869565216,0.78125,0.32727272727272727,0.29411764705882354,0.8333333333333334,0.78125,0.78125,0.4090909090909091,0.2727272727272727,0.802405498281787,0.7620192307692308,0.5523809523809523
logistic_regression_combined,0.5885416666666666,0.5069081620805759,0.6259887120282166,0.733530723285878,0.36363636363636365,0.7777777777777778,0.3793103448275862,0.25,0.6666666666666666,0.7903225806451613,0.765625,0.44,0.3333333333333333,0.79553264604811,0.78125,0.6238095238095238
mlp_class_weight,0.4594381313131313,0.4533333333333333,0.6885436893203883,0.7115032662068744,0.0,0.84,0.52,0.0,0.0,0.7325581395348837,0.984375,0.7647058823529411,0.3939393939393939,0.6735395189003436,0.7427884615384616,0.7181818181818181
